1582.5,-39,1038
1577.5,-37.5,1034
1572,-39,1035
1571.5,-37,1036.5
1566.5,-38,1034
1566.5,-37,1041.5
1565.5,-37,1040
1562.5,-38,1041
1562.5,-38,1042.5
1562.5,-38,1039.5
1554,-37.5,1034
1554,-37.5,1037
1549.5,-39,1037
1547.5,-39,1037
1534,-39,1034
1534,-39,1037
1534,-39,1035.5
1524,-38.5,1035.5
1521.5,-38.5,1035.5
1519,-38.5,1035.5
1513,-37,1037
1508,-38.5,1034
1502.5,-37,1037
1495.5,-37,1034
1495.5,-38.5,1038
1492,-38.5,1034
1492,-39,1038
1488.5,-37,1034
1488.5,-38.5,1037
1479.5,-37.5,1036.5
1467.5,-39,1034
1465.5,-38,1035.5
1463.5,-38,1037
1447.5,-39,1035.5
1437.5,-38,1036
1437.5,-38,1034
1437.5,-38,1037
1430.5,-39,1037.5
